case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,reference_overlap,regulator_score,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,max_unsupported_token_shock,relation_polarity_clamp,noncopular_relation_clamp,all_noncopular_relations_supported,literal_only_block,guarded_paraphrase_tolerated,geometric_block,exact_reference_member,reference_member_geometry_override,relation_supported_geometry_override,final_geometric_block,final_literal_block,pred_hallucinated_v9,safe_to_emit_v9,novel_numbers,novel_units,novel_entities,novel_content,novel_content_count
photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,3,Photosynthesis converts light energy into metal.,1,0.4885956645011902,0.588822215795517,0.34883826971054077,0.07999464869499207,0.5,5,0.5635956645011901,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,metal,1
photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,4,Plants use photosynthesis to make soil from oxygen.,1,0.4229746162891388,0.588822215795517,0.34883826971054077,0.07999464869499207,0.5,5,0.4979746162891388,0,0,0,0,0,1,0.128909170627594,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,soil,1
orbit_all_bad_extended,All candidates give wrong orbit relations.,0,0,Earth orbits the Moon.,1,0.16581957042217255,0.7127331048250198,0.4905523657798767,0.07406024634838104,0.0,3,0.16581957042217255,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
orbit_all_bad_extended,All candidates give wrong orbit relations.,0,1,The Sun orbits Earth.,1,0.16023080050945282,0.7127331048250198,0.4905523657798767,0.07406024634838104,0.0,3,0.16023080050945282,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
orbit_all_bad_extended,All candidates give wrong orbit relations.,0,2,The Moon orbits the Sun.,1,0.22836872935295105,0.7127331048250198,0.4905523657798767,0.07406024634838104,0.0,3,0.22836872935295105,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
orbit_all_bad_extended,All candidates give wrong orbit relations.,0,3,Earth goes around the Moon.,1,0.3959774672985077,0.7127331048250198,0.4905523657798767,0.07406024634838104,0.5,2,0.4709774672985077,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,goes,1
orbit_all_bad_extended,All candidates give wrong orbit relations.,0,4,The Sun is orbited by Mars.,1,0.5249975919723511,0.7127331048250198,0.4905523657798767,0.07406024634838104,0.5,2,0.599997591972351,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,mars,1
dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,0,DNA contains the nucleus.,1,0.14642557501792908,0.4785757139325142,0.24558600783348083,0.07766323536634445,0.0,3,0.14642557501792908,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,1,DNA contains human cells.,1,0.24655479192733765,0.4785757139325142,0.24558600783348083,0.07766323536634445,0.0,4,0.24655479192733765,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,2,Mitochondria contain the nucleus.,1,0.46625399589538574,0.4785757139325142,0.24558600783348083,0.07766323536634445,0.0,3,0.46625399589538574,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,3,The nucleus contains keyboards.,1,0.7504246234893799,0.4785757139325142,0.24558600783348083,0.07766323536634445,0.5,2,0.8254246234893798,0,0,0,0,0,1,0.1543838381767273,0,1,0,0,0,1,0,0,0,1,0,1,0,,,,keyboards,1
dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,4,Human DNA is mainly stored in blood plasma outside cells.,1,0.5569323301315308,0.4785757139325142,0.24558600783348083,0.07766323536634445,2.0,3,0.8569323301315308,0,0,0,0,0,1,0.040604472160339355,0,0,0,0,0,1,0,0,0,1,1,1,0,,,,"blood,outside,plasma,stored",4
friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,0,Heat produces friction.,1,0.06041586026549339,0.23430856689810753,0.1492566466331482,0.02835064008831978,0.0,3,0.06041586026549339,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,1,Heat converts friction into motion.,1,0.1004052385687828,0.23430856689810753,0.1492566466331482,0.02835064008831978,0.0,5,0.1004052385687828,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,2,Friction converts heat into motion.,1,0.0859343409538269,0.23430856689810753,0.1492566466331482,0.02835064008831978,0.0,5,0.0859343409538269,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0
friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,3,Rubbing surfaces remove all heat through friction.,1,0.3647884726524353,0.23430856689810753,0.1492566466331482,0.02835064008831978,1.0,4,0.5147884726524353,0,0,0,0,0,1,0.04734683036804199,0,0,0,0,0,1,0,0,0,1,1,1,0,,,,"all,remove",2
friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,4,Friction generates cold by destroying heat.,1,0.30593714118003845,0.23430856689810753,0.1492566466331482,0.02835064008831978,1.5,2,0.5309371411800384,0,0,0,0,0,1,0.06866800785064697,0,0,1,0,0,1,0,0,0,1,1,1,0,,,,"cold,destroying,generates",3
mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,0,"Mars has one moon, Phobos.",1,0.277057409286499,0.14094567857682705,0.0847465991973877,0.018733026459813118,1.0,2,0.42705740928649905,0,0,0,0,0,0,0.0,0,1,0,0,0,1,0,0,0,1,1,1,0,,,,"moon,one",2
mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,1,Mars has three moons.,1,0.5258126258850098,0.14094567857682705,0.0847465991973877,0.018733026459813118,0.5,2,0.6008126258850097,0,0,0,0,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,,,,three,1
mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,2,"Mars has two moons, Luna and Titan.",1,0.5943159461021423,0.14094567857682705,0.0847465991973877,0.018733026459813118,4.0,3,1.1943159461021424,0,0,1,1,0,1,0.052310824394226074,0,0,1,0,0,1,0,0,0,1,1,1,0,,,"Luna,Titan","luna,titan",2
mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,3,The two moons of Mars are Europa and Io.,1,0.590993344783783,0.14094567857682705,0.0847465991973877,0.018733026459813118,3.5,3,1.1159933447837829,0,0,1,1,0,1,0.05591517686843872,1,0,0,0,0,1,0,0,0,1,1,1,0,,,"Europa,Io",europa,1
mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,4,Phobos and Deimos are the moons of Earth.,1,0.249929279088974,0.14094567857682705,0.0847465991973877,0.018733026459813118,0.5,3,0.324929279088974,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,,earth,1
science_models_all_bad_extended,All candidates overclaim scientific models.,0,0,A successful model is automatically the final truth.,1,0.5875060558319092,1.0838432312011719,0.6137987971305847,0.15668147802352905,0.0,5,0.5875060558319092,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0
science_models_all_bad_extended,All candidates overclaim scientific models.,0,1,Scientific models are never tested against observations.,1,0.7632074952125549,1.0838432312011719,0.6137987971305847,0.15668147802352905,0.5,5,0.8382074952125549,0,0,0,0,1,1,0.1924583911895752,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,never,1
science_models_all_bad_extended,All candidates overclaim scientific models.,0,2,A model that matches evidence is complete reality.,1,0.42025694251060486,1.0838432312011719,0.6137987971305847,0.15668147802352905,0.0,5,0.42025694251060486,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0
science_models_all_bad_extended,All candidates overclaim scientific models.,0,3,Scientific descriptions do not use measurements or predictions.,1,0.696054995059967,1.0838432312011719,0.6137987971305847,0.15668147802352905,0.5,4,0.771054995059967,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,use,1
science_models_all_bad_extended,All candidates overclaim scientific models.,0,4,Incomplete models cannot be useful.,1,0.7467308044433594,1.0838432312011719,0.6137987971305847,0.15668147802352905,2.0,3,1.0467308044433594,0,0,1,1,0,1,0.05794179439544678,0,0,0,0,0,0,0,0,0,0,1,1,0,,,Incomplete,cannot,1
temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,0,Normal human body temperature is 100 degrees Celsius.,1,0.21928413212299347,0.21204601228237152,0.12359963357448578,0.029482126235961914,2.5,4,0.5942841321229935,1,0,0,1,0,1,0.06847730278968811,0,0,0,0,0,1,0,0,0,1,1,1,0,100,,,100,1
temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,1,Normal human body temperature is 0 degrees Celsius.,1,0.34787049889564514,0.21204601228237152,0.12359963357448578,0.029482126235961914,2.5,4,0.7228704988956451,1,0,0,1,0,1,0.19000494480133057,0,0,0,0,0,1,0,0,0,1,1,1,0,0,,,0,1
temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,2,Normal human body temperature is 37 degrees Fahrenheit.,1,0.07586580514907837,0.21204601228237152,0.12359963357448578,0.029482126235961914,3.0,5,0.5258658051490783,0,1,1,1,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,,fahrenheit,Fahrenheit,,0
temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,3,Human body temperature is commonly described as near 200°C.,1,0.356557697057724,0.21204601228237152,0.12359963357448578,0.029482126235961914,2.5,3,0.731557697057724,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,1,0,200,,,200°c,1
temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,4,Normal body temperature never varies and is exactly 37°C.,1,0.4886578321456909,0.21204601228237152,0.12359963357448578,0.029482126235961914,0.5,5,0.5636578321456909,0,0,0,0,1,1,0.2660386562347412,0,0,0,0,0,1,0,0,0,1,0,1,0,,,,never,1
